Date,AAPL,BRK.A,CVX,GE,GOOGL,IBM,JNJ,JPM,KO,MRK,MSFT,ORCL,PFE,PG,T,VZ,WFC,WMT,XOM
2006-01-03 00:00:00+00:00,71.85,89300.0,45.12,26.17,217.83,70.82,47.82,32.56,16.09,23.28,22.39,11.99,16.44,46.34,15.84,17.83,25.5,38.48,48.48
2006-01-04 00:00:00+00:00,72.06,89690.0,44.99,26.14,222.84,70.72,48.56,32.38,16.06,23.55,22.5,12.0,16.97,46.43,15.95,18.35,25.2,38.56,48.57
2006-01-05 00:00:00+00:00,71.49,89800.0,44.44,26.07,225.85,71.2,48.35,32.47,16.14,23.59,22.51,12.17,16.99,46.28,15.99,18.56,25.18,38.03,48.33
2006-01-06 00:00:00+00:00,73.34,89500.0,45.25,26.25,233.06,73.31,48.57,32.7,16.29,23.55,22.45,12.48,17.18,46.23,16.19,18.64,25.32,38.19,49.28
2006-01-09 00:00:00+00:00,73.1,89900.0,45.02,26.18,233.68,72.26,48.87,33.23,16.37,23.93,22.41,12.25,17.18,46.58,16.25,18.71,25.32,38.05,49.25
2006-01-10 00:00:00+00:00,77.72,89790.0,45.25,26.04,235.12,72.55,48.96,33.28,16.39,23.7,22.52,12.0,16.89,46.4,16.15,18.79,25.3,38.18,49.64
2006-01-11 00:00:00+00:00,80.64,89410.0,45.7,26.22,236.05,72.64,48.49,33.26,16.4,23.79,22.76,11.99,17.11,46.56,16.28,19.02,25.43,38.77,49.98
2006-01-12 00:00:00+00:00,81.02,89300.0,45.74,25.9,232.05,72.12,48.27,32.65,16.31,23.8,22.64,11.91,16.99,46.05,16.21,19.09,25.14,38.08,49.45
2006-01-13 00:00:00+00:00,82.27,89600.0,46.1,25.97,233.36,71.78,47.97,32.62,16.25,23.79,22.68,11.9,17.05,46.44,16.23,19.13,25.28,37.79,50.56
2006-01-17 00:00:00+00:00,81.42,89300.0,47.25,25.86,233.79,71.63,47.55,32.45,16.14,23.61,22.51,11.83,16.78,46.24,16.13,18.71,25.02,37.42,51.03
2006-01-18 00:00:00+00:00,79.29,89950.0,46.51,25.77,222.68,72.32,48.25,32.1,16.06,23.48,22.38,11.74,16.59,46.48,16.12,18.52,25.42,37.61,50.32
2006-01-19 00:00:00+00:00,75.97,90200.0,47.05,25.66,218.44,71.71,48.24,31.92,16.1,23.69,22.54,11.91,17.26,46.35,16.17,18.68,25.02,38.13,51.0
2006-01-20 00:00:00+00:00,73.13,89500.0,46.68,24.69,199.93,70.21,47.17,31.09,15.77,23.64,22.03,11.69,17.08,45.82,16.05,18.39,24.58,37.46,50.19
2006-01-23 00:00:00+00:00,74.65,89300.0,47.51,24.63,213.96,70.26,47.48,31.27,15.94,23.34,21.98,11.7,17.2,45.66,15.88,18.43,24.62,37.67,50.75
2006-01-24 00:00:00+00:00,73.09,89600.0,47.39,24.39,221.74,69.77,46.06,31.14,16.09,23.3,21.92,11.61,17.0,45.84,16.02,18.36,24.62,38.06,50.55
2006-01-25 00:00:00+00:00,71.32,89850.0,46.79,24.24,216.72,69.83,45.39,31.44,16.19,23.6,22.02,11.9,17.16,46.32,16.37,18.65,24.78,38.27,49.93
2006-01-26 00:00:00+00:00,69.52,89600.0,45.99,24.43,217.35,69.66,45.5,32.35,16.32,24.14,22.11,11.83,17.31,46.6,16.57,18.83,25.01,38.56,49.71
2006-01-27 00:00:00+00:00,69.23,89500.0,46.12,24.38,216.96,69.92,45.55,32.48,16.51,24.67,23.18,11.81,17.96,47.32,16.82,19.11,25.06,38.16,50.82
2006-01-30 00:00:00+00:00,72.09,89290.0,46.4,24.37,213.62,70.45,45.31,32.56,16.43,24.5,23.36,12.0,17.93,46.85,16.92,18.96,24.97,38.63,52.33
2006-01-31 00:00:00+00:00,72.58,89490.0,45.35,24.23,216.55,70.16,44.65,32.48,16.28,24.53,23.48,11.96,17.75,46.92,16.86,18.82,24.92,38.38,52.03
